Record number,Origin of data,Subject number,Ethnicity,Gender,Age group,Body location,L,a,b
150,1,17,CA,F,,1,61.0945,6.6701,14.0265
151,1,17,CA,F,,11,63.8765,6.9910,11.3059
152,1,17,CA,F,,10,64.8265,5.3364,11.8212
153,1,17,CA,F,,7,67.3614,4.4162,9.1225
154,1,18,CA,F,,6,58.6698,12.0900,16.7746
155,1,18,CA,F,,9,59.2752,12.4188,17.4787
156,1,18,CA,F,,2,59.3737,13.8338,15.7472
157,1,18,CA,F,,5,58.5219,14.9865,16.4462
158,1,18,CA,F,,4,59.5303,13.5487,15.9711
159,1,18,CA,F,,1,58.4426,9.6777,16.5879
160,1,18,CA,F,,11,61.8612,8.0407,12.1222
161,1,18,CA,F,,10,52.5789,7.2839,17.5928
162,1,18,CA,F,,7,64.5431,6.2465,14.8407
163,1,19,CA,M,,6,67.0673,7.7450,14.6720
164,1,19,CA,M,,9,62.6011,11.8464,13.0482
165,1,19,CA,M,,2,67.3310,7.2505,14.2433
166,1,19,CA,M,,5,66.9183,9.3221,13.2135
167,1,19,CA,M,,4,62.9874,10.1236,13.0383
168,1,19,CA,M,,1,62.3361,8.8110,13.1954
169,1,19,CA,M,,11,61.8675,8.0530,13.5624
170,1,19,CA,M,,10,59.0564,7.5413,16.4501
171,1,19,CA,M,,7,66.9366,4.9841,13.5040
172,1,20,CA,F,,6,63.8724,11.9441,20.8292
173,1,20,CA,F,,9,62.7131,13.1395,21.1632
174,1,20,CA,F,,2,64.3084,11.7296,21.5260
175,1,20,CA,F,,5,66.0499,11.3005,18.2664
176,1,20,CA,F,,4,63.0767,11.9193,21.1580
177,1,20,CA,F,,1,59.8428,8.8437,16.9557
178,1,20,CA,F,,11,61.8793,9.3582,9.9681
179,1,20,CA,F,,10,53.5473,8.6963,18.8070
180,1,20,CA,F,,7,64.9738,5.4195,13.7458
181,1,21,CA,F,,6,61.0330,11.9000,20.0340
182,1,21,CA,F,,9,56.8528,12.5706,19.8067
183,1,21,CA,F,,2,62.0223,11.3624,20.8946
184,1,21,CA,F,,5,63.4109,10.2068,16.1176
185,1,21,CA,F,,4,59.2770,14.3027,18.0158
186,1,21,CA,F,,1,63.9758,5.5734,14.9238
187,1,21,CA,F,,11,65.4022,4.5319,10.7499
188,1,21,CA,F,,10,62.7392,6.3811,18.8183
189,1,21,CA,F,,7,62.9530,6.7555,16.2724
190,1,22,CA,F,,6,63.5990,9.0607,14.8040
191,1,22,CA,F,,9,49.0867,10.4367,12.6546
192,1,22,CA,F,,2,61.1994,13.7872,17.1587
193,1,22,CA,F,,5,64.1195,11.4909,15.9360
194,1,22,CA,F,,4,61.4421,12.1963,12.8098
195,1,22,CA,F,,1,62.9029,6.7936,15.0811
196,1,22,CA,F,,11,64.6925,7.5129,16.2069
197,1,22,CA,F,,10,58.9985,6.8988,17.6072
198,1,22,CA,F,,7,64.2059,4.0716,15.1015
199,1,23,CA,F,,6,60.1101,13.9401,18.8774
200,1,23,CA,F,,9,55.8557,15.3174,17.3061
201,1,23,CA,F,,2,60.0127,17.6840,16.8498
202,1,23,CA,F,,5,60.5396,17.9486,14.9017
203,1,23,CA,F,,4,58.8414,16.1365,17.8683
204,1,23,CA,F,,1,57.8867,7.8465,13.6644
205,1,23,CA,F,,11,61.9590,11.3813,12.7593
206,1,23,CA,F,,10,59.5957,8.5652,16.8708
207,1,23,CA,F,,7,64.3805,6.0100,14.1250
208,1,24,CA,F,,6,63.8882,9.8244,13.0006
209,1,24,CA,F,,9,64.2751,12.9371,13.2329
210,1,24,CA,F,,2,67.1233,9.6453,14.0900
211,1,24,CA,F,,5,44.3903,7.5039,13.1525
212,1,24,CA,F,,4,64.6482,11.5291,13.9277
213,1,24,CA,F,,1,64.4319,8.5605,12.9368
214,1,24,CA,F,,11,60.3989,10.7315,13.1442
215,1,24,CA,F,,10,62.8792,6.7436,12.3552
216,1,24,CA,F,,7,67.4042,3.9441,11.3118
217,1,25,CA,F,,6,52.2540,10.1746,19.7332
218,1,25,CA,F,,9,56.5455,8.8476,16.3534
219,1,25,CA,F,,2,58.6622,14.2057,14.3538
220,1,25,CA,F,,5,38.1178,13.6283,10.6925
221,1,25,CA,F,,4,58.2505,13.5344,16.8202
222,1,25,CA,F,,1,59.3574,8.2705,18.6274
223,1,25,CA,F,,11,47.0127,9.5165,15.4300
224,1,25,CA,F,,10,58.6457,6.6894,19.0726
225,1,25,CA,F,,7,61.6357,3.8137,12.7995
226,1,26,CA,F,,6,58.5618,10.7900,16.4053
227,1,26,CA,F,,9,60.0791,12.1907,15.6474
228,1,26,CA,F,,2,63.2587,8.3624,17.3896
229,1,26,CA,F,,5,56.9154,14.3495,17.3488
230,1,26,CA,F,,4,62.1457,10.7288,15.8495
231,1,26,CA,F,,1,60.0568,6.0328,16.1768
232,1,26,CA,F,,11,61.5186,6.3629,11.6394
233,1,26,CA,F,,10,57.5738,6.2598,18.3543
234,1,26,CA,F,,7,60.6477,4.0232,12.6483
235,1,27,CA,F,,6,59.7689,11.3799,18.3229
236,1,27,CA,F,,9,61.8380,11.9057,15.5051
237,1,27,CA,F,,2,58.9739,13.5786,18.0297
238,1,27,CA,F,,5,60.8444,13.5313,14.1574
239,1,27,CA,F,,4,60.1997,12.4794,16.3251
240,1,27,CA,F,,1,63.4299,4.3390,14.8882
241,1,27,CA,F,,11,62.4541,6.8826,12.0599
242,1,27,CA,F,,10,65.3695,4.9308,15.7500
243,1,27,CA,F,,7,67.8647,3.0775,12.4194
244,1,28,CA,M,,6,59.0783,14.5844,13.6195
245,1,28,CA,M,,9,58.6249,16.9768,14.2929
246,1,28,CA,M,,2,57.9934,13.7513,14.8335
247,1,28,CA,M,,5,57.4783,16.5229,10.8046
248,1,28,CA,M,,4,47.7429,12.1063,10.7924
249,1,28,CA,M,,1,60.7749,9.6898,11.1450
250,1,28,CA,M,,11,56.6158,11.0820,11.1137
251,1,28,CA,M,,10,61.6469,4.7013,14.8308
252,1,28,CA,M,,7,66.1061,4.0449,11.5490
253,1,29,CA,F,,6,62.5346,12.5091,18.5860
254,1,29,CA,F,,9,61.5085,16.2719,15.8530
255,1,29,CA,F,,2,61.4300,15.5139,17.0767
256,1,29,CA,F,,5,63.4472,9.9958,14.6388
257,1,29,CA,F,,4,62.5154,12.9982,17.8512
258,1,29,CA,F,,1,58.1779,8.6014,17.9752
259,1,29,CA,F,,11,59.0290,8.2921,13.0354
260,1,29,CA,F,,10,55.1439,10.0669,19.6339
261,1,29,CA,F,,7,57.9961,8.9601,17.3526
262,1,30,CA,M,,6,54.5373,15.5749,8.0648
263,1,30,CA,M,,9,57.2543,13.5043,12.3415
264,1,30,CA,M,,2,54.6253,13.9947,8.3499
265,1,30,CA,M,,5,60.5114,8.0490,9.7641
266,1,30,CA,M,,4,48.9026,16.4918,7.5705
267,1,30,CA,M,,1,56.1222,10.9431,12.1619
268,1,30,CA,M,,11,63.3494,5.5017,9.6896
269,1,30,CA,M,,10,54.5414,7.8850,19.6566
270,1,30,CA,M,,7,61.7624,4.1639,17.3385
271,1,31,CA,F,,6,61.6341,13.8493,20.6103
272,1,31,CA,F,,9,62.6725,13.8336,21.9623
273,1,31,CA,F,,2,60.0329,14.5683,21.6490
274,1,31,CA,F,,5,62.9495,14.5966,23.6217
275,1,31,CA,F,,4,59.0980,15.3540,20.9140
276,1,31,CA,F,,1,56.6128,8.9206,13.5214
277,1,31,CA,F,,11,62.8409,9.4184,10.5407
278,1,31,CA,F,,10,55.5381,11.4832,18.8690
279,1,31,CA,F,,7,61.9531,6.0571,14.3766
280,1,32,CA,M,,6,55.7630,14.9637,11.7894
281,1,32,CA,M,,9,55.6266,11.5413,12.7509
282,1,32,CA,M,,2,56.1720,12.0883,9.8191
283,1,32,CA,M,,5,51.9427,18.2148,7.8982
284,1,32,CA,M,,4,45.5489,7.1277,8.3692
285,1,32,CA,M,,1,53.4354,12.9011,8.7726
286,1,32,CA,M,,11,58.4319,9.3060,9.5627
287,1,32,CA,M,,10,46.9859,8.7130,12.9030
288,1,32,CA,M,,7,53.6414,7.7840,10.2895
289,1,33,CA,F,,6,66.3730,8.6763,12.6419
290,1,33,CA,F,,9,66.1967,10.2431,16.2692
291,1,33,CA,F,,2,62.9287,12.3596,11.5213
292,1,33,CA,F,,5,64.7260,6.5099,11.7670
293,1,33,CA,F,,4,60.9764,16.5826,12.9447
294,1,33,CA,F,,1,62.7522,7.2262,16.5530
